dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000015479	ENSG00000015479	MATR3	ensembl_from_source	duplicate_symbol_in_oksa	True	
OKSA	ENSG00000015532	ENSG00000015532	XYLT2	ensembl_from_source	unique	True	
OKSA	ENSG00000015568	ENSG00000015568	RGPD8	ensembl_from_source	duplicate_symbol_in_oksa	True	
OKSA	ENSG00000015676	ENSG00000015676	NUDCD3	ensembl_from_source	unique	True	
OKSA	ENSG00000016864	ENSG00000016864	GLT8D1	ensembl_from_source	unique	True	
OKSA	ENSG00000017260	ENSG00000017260	ATP2C1	ensembl_from_source	unique	True	
OKSA	ENSG00000017427	ENSG00000017427	IGF1	ensembl_from_source	unique	True	
OKSA	ENSG00000017483	ENSG00000017483	SLC38A5	ensembl_from_source	unique	True	
OKSA	ENSG00000017797	ENSG00000017797	RALBP1	ensembl_from_source	unique	True	
OKSA	ENSG00000018189	ENSG00000018189	RUFY3	ensembl_from_source	unique	True	
OKSA	ENSG00000018280	ENSG00000018280	SLC11A1	ensembl_from_source	unique	True	
