gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
DTWD1,11,99,-0.19476363636363636,-0.0044101010101010064,-0.19035353535353536,0.6253974373438953,0.867320725863756,1.0,1.0
CEP41,11,99,0.026090909090909064,-0.08037575757575757,0.10646666666666664,0.6253974373438953,0.867320725863756,1.0,1.0
METTL17,11,99,-0.19079999999999997,0.009506060606060608,-0.20030606060606057,0.6253974373438953,0.867320725863756,1.0,1.0
NELFB,11,99,-0.11840000000000002,-0.0029363636363636484,-0.11546363636363637,0.6253974373438953,0.867320725863756,1.0,1.0
SUDS3,11,99,0.2642909090909091,-0.03643535353535354,0.3007262626262626,0.6253974373438953,0.867320725863756,1.0,1.0
RN7SL1,11,99,0.16598181818181817,0.011966666666666658,0.15401515151515152,0.6253974373438953,0.867320725863756,1.0,1.0
RASGRP1,11,99,0.33569999999999994,0.13656161616161616,0.19913838383838378,0.6253974373438953,0.867320725863756,1.0,1.0
ANP32B,11,99,-0.09704545454545453,-0.20299191919191922,0.10594646464646469,0.6253974373438953,0.867320725863756,1.0,1.0
SARNP,11,99,-0.15967272727272727,-0.01274343434343435,-0.1469292929292929,0.6253974373438953,0.867320725863756,1.0,1.0
RNF220,11,99,0.13329090909090907,0.014398989898989899,0.11889191919191917,0.6253974373438953,0.867320725863756,1.0,1.0
DDX41,11,99,-0.08945454545454545,0.023138383838383868,-0.11259292929292933,0.6253974373438953,0.867320725863756,1.0,1.0
GSN,11,99,-0.08133636363636365,0.07549090909090908,-0.15682727272727273,0.6253974373438953,0.867320725863756,1.0,1.0
FAM83D,11,99,0.03438181818181817,-0.1342747474747475,0.16865656565656567,0.6253974373438953,0.867320725863756,1.0,1.0
KPNA4,11,99,-0.08546363636363635,0.015657575757575735,-0.10112121212121208,0.6253974373438953,0.867320725863756,1.0,1.0
RFX2,11,99,0.10364545454545458,0.11213535353535353,-0.00848989898989895,0.6253974373438953,0.867320725863756,1.0,1.0
ARSD,11,99,-0.18881818181818186,-0.011333333333333341,-0.17748484848484852,0.6253974373438953,0.867320725863756,1.0,1.0
PLIN2,11,99,-0.22525454545454549,-0.09647575757575758,-0.1287787878787879,0.6253974373438953,0.867320725863756,1.0,1.0
MAP2K2,11,99,0.17109090909090915,-0.030829292929292942,0.2019202020202021,0.6253974373438953,0.867320725863756,1.0,1.0
BCL9L,11,99,0.005636363636363642,0.12175656565656566,-0.11612020202020201,0.6253974373438953,0.867320725863756,1.0,1.0
SCARNA13,11,99,0.14031818181818181,-0.014138383838383835,0.15445656565656565,0.6253974373438953,0.867320725863756,1.0,1.0
PSMC4,11,99,0.1074,-0.09623737373737372,0.20363737373737373,0.6253974373438953,0.867320725863756,1.0,1.0
TMEM141,11,99,-0.18780000000000002,-0.012578787878787882,-0.17522121212121214,0.6253974373438953,0.867320725863756,1.0,1.0
ZNF282,11,99,-0.23647272727272728,-0.028351515151515152,-0.20812121212121212,0.6253974373438953,0.867320725863756,1.0,1.0
CORO2B,11,99,0.027800000000000005,-0.07166464646464647,0.09946464646464648,0.6253974373438953,0.867320725863756,1.0,1.0
GPR107,11,99,0.2826,0.11996767676767676,0.16263232323232324,0.6253974373438953,0.867320725863756,1.0,1.0
